name,countAll,countYes,countNo,,,,,,,,
c#,19259,3863,15396,,,,,,,,
java,17000,4858,12142,,,,,,,,
php,16097,6176,9921,,,,,,,,
javascript,15154,4189,10965,,,,,,,,
android,13284,6148,7136,,,,,,,,
jquery,12288,6039,6249,,,,,,,,
c++,8331,2237,6094,,,,,,,,
python,7775,3288,4487,,,,,,,,
iphone,7619,2045,5574,,,,,,,,
asp.net,7302,2177,5125,,,,,,,c#,19259
mysql,7058,3416,3642,,,,,,,java,17000
html,6804,1460,5344,,,,,,,php,16097
.net,6686,1199,5487,,,,,,,javascript,15154
ios,5734,1260,4474,,,,,,,android,13284
objective-c,5657,605,5052,,,,,,,jquery,12288
sql,5496,2106,3390,,,,,,,c++,8331
css,5330,1496,3834,,,,,,,python,7775
linux,5286,1433,3853,,,,,,,iphone,7619
ruby-on-rails,4863,318,4545,,,,,,,,
windows,4032,1721,2311,,,,,,,,
c,3968,1227,2741,,,,,,,,
sql-server,3127,1112,2015,,,,,,,,
ruby,2998,1052,1946,,,,,,,,
wpf,2706,1213,1493,,,,,,,,
xml,2663,1511,1152,,,,,,,,
database,2480,920,1560,,,,,,,,
ajax,2470,1186,1284,,,,,,,,
windows-7,2462,973,1489,,,,,,,,
asp.net-mvc,2384,640,1744,,,,,,,,
regex,2376,895,1481,,,,,,,,
osx,2188,209,1979,,,,,,,,
xcode,2148,595,1553,,,,,,,,
django,2101,1321,780,,,,,,,,
arrays,2087,1536,551,,,,,,,,
vb.net,1887,455,1432,,,,,,,,
eclipse,1833,1065,768,,,,,,,,
facebook,1805,1289,516,,,,,,,,
ruby-on-rails-3,1795,10,1785,,,,,,,,
ubuntu,1774,707,1067,,,,,,,,
json,1763,1042,721,,,,,,,,
performance,1634,400,1234,,,,,,,,
multithreading,1566,100,1466,,,,,,,,
networking,1557,462,1095,,,,,,,,
string,1530,993,537,,,,,,,,
winforms,1523,274,1249,,,,,,,,
visual-studio-2010,1453,238,1215,,,,,,,,
asp.net-mvc-3,1442,88,1354,,,,,,,,
security,1400,202,1198,,,,,,,,
wcf,1358,911,447,,,,,,,,
bash,1339,466,873,,,,,,,,
homework,1330,12,1318,,,,,,,,
wordpress,1297,771,526,,,,,,,,
image,1295,966,329,,,,,,,,
html5,1286,376,910,,,,,,,,
visual-studio,1271,500,771,,,,,,,,
web-services,1267,93,1174,,,,,,,,
forms,1244,743,501,,,,,,,,
sql-server-2008,1235,211,1024,,,,,,,,
linq,1230,733,497,,,,,,,,
oracle,1219,639,580,,,,,,,,
git,1219,761,458,,,,,,,,
perl,1218,707,511,,,,,,,,
algorithm,1217,321,896,,,,,,,,
actionscript-3,1159,57,1102,,,,,,,,
email,1157,570,587,,,,,,,,
query,1150,482,668,,,,,,,,
cocoa,1150,178,972,,,,,,,,
ipad,1146,312,834,,,,,,,,
silverlight,1120,590,530,,,,,,,,
apache2,1114,106,1008,,,,,,,,
apache,1114,379,735,,,,,,,,
flash,1106,503,603,,,,,,,,
spring,1105,632,473,,,,,,,,
r,1080,472,608,,,,,,,,
hibernate,1069,563,506,,,,,,,,
cocoa-touch,1049,22,1027,,,,,,,,
swing,1019,175,844,,,,,,,,
entity-framework,1011,362,649,,,,,,,,
excel,1004,633,371,,,,,,,,
file,980,733,247,,,,,,,,
api,928,484,444,,,,,,,,
shell,926,307,619,,,,,,,,
sqlite,913,461,452,,,,,,,,
flex,902,426,476,,,,,,,,
list,889,580,309,,,,,,,,
jquery-ui,888,272,616,,,,,,,,
tsql,874,61,813,,,,,,,,
delphi,873,342,531,,,,,,,,
.htaccess,858,284,574,,,,,,,,
windows-xp,856,236,620,,,,,,,,
internet-explorer,855,161,694,,,,,,,,
firefox,843,542,301,,,,,,,,
unix,832,197,635,,,,,,,,
qt,829,337,492,,,,,,,,
debugging,828,172,656,,,,,,,,
node.js,825,281,544,,,,,,,,
google-chrome,815,172,643,,,,,,,,
unit-testing,801,141,660,,,,,,,,
http,793,352,441,,,,,,,,
svn,792,351,441,,,,,,,,
postgresql,788,275,513,,,,,,,,
windows-phone-7,769,119,650,,,,,,,,
ssh,767,430,337,,,,,,,,
iis,766,345,421,,,,,,,,
command-line,760,209,551,,,,,,,,
codeigniter,759,400,359,,,,,,,,
google-app-engine,751,214,537,,,,,,,,
oop,749,65,684,,,,,,,,
sql-server-2005,748,140,608,,,,,,,,
class,742,394,348,,,,,,,,
matlab,741,442,299,,,,,,,,
sockets,738,362,376,,,,,,,,
validation,725,319,406,,,,,,,,
function,720,473,247,,,,,,,,
memory,708,370,338,,,,,,,,
parsing,690,161,529,,,,,,,,
jsp,689,279,410,,,,,,,,
windows-server-2008,682,184,498,,,,,,,,
authentication,681,250,431,,,,,,,,
calculus,668,33,635,,,,,,,,
xaml,663,144,519,,,,,,,,
google-maps,660,268,392,,,,,,,,
magento,659,476,183,,,,,,,,
winapi,658,26,632,,,,,,,,
mongodb,655,346,309,,,,,,,,
audio,655,243,412,,,,,,,,
templates,651,380,271,,,,,,,,
zend-framework,651,187,464,,,,,,,,
search,649,419,230,,,,,,,,
uitableview,648,273,375,,,,,,,,
android-layout,647,53,594,,,,,,,,
tomcat,644,364,280,,,,,,,,
events,640,409,231,,,,,,,,
design-patterns,639,40,599,,,,,,,,
pdf,635,491,144,,,,,,,,
scala,634,350,284,,,,,,,,
mvc,631,257,374,,,,,,,,
plugins,631,319,312,,,,,,,,
visual-studio-2008,630,111,519,,,,,,,,
